Timestamp,RTU_1 DAClgSetpt(°F)
18-Jul-19 04:00:00 am,63.3
18-Jul-19 08:00:00 am,59.6
18-Jul-19 04:00:00 pm,60.6
19-Jul-19 04:00:00 am,61.5
19-Jul-19 08:00:00 am,60.9
19-Jul-19 04:00:00 pm,60.7
20-Jul-19 12:00:00 pm,59.6
20-Jul-19 08:00:00 pm,60.5
21-Jul-19 12:00:00 pm,59.3
22-Jul-19 12:00:00 am,60.5
22-Jul-19 04:00:00 am,58.6
22-Jul-19 04:00:00 pm,58.1
22-Jul-19 08:00:00 pm,60.8
23-Jul-19 04:00:00 am,59.9
23-Jul-19 04:00:00 pm,60.4
24-Jul-19 04:00:00 am,59.3
24-Jul-19 04:00:00 pm,60.8
24-Jul-19 08:00:00 pm,59.7
25-Jul-19 04:00:00 am,59.3
25-Jul-19 04:00:00 pm,59.0
25-Jul-19 08:00:00 pm,60.7
26-Jul-19 04:00:00 am,59.6
26-Jul-19 04:00:00 pm,58.1
26-Jul-19 08:00:00 pm,60.6
27-Jul-19 04:00:00 pm,60.2
28-Jul-19 12:00:00 pm,59.7
28-Jul-19 08:00:00 pm,60.2
29-Jul-19 04:00:00 am,59.3
29-Jul-19 04:00:00 pm,56.8
29-Jul-19 08:00:00 pm,60.4
30-Jul-19 04:00:00 am,59.4
30-Jul-19 04:00:00 pm,60.6
30-Jul-19 08:00:00 pm,61.1
31-Jul-19 04:00:00 am,59.5
31-Jul-19 04:00:00 pm,59.9
31-Jul-19 08:00:00 pm,60.4
01-Aug-19 04:00:00 am,58.5
01-Aug-19 04:00:00 pm,58.0
01-Aug-19 08:00:00 pm,60.4
02-Aug-19 04:00:00 am,59.3
02-Aug-19 04:00:00 pm,59.3
02-Aug-19 08:00:00 pm,60.4
03-Aug-19 12:00:00 pm,59.3
03-Aug-19 08:00:00 pm,60.4
04-Aug-19 12:00:00 pm,59.4
04-Aug-19 08:00:00 pm,60.3
05-Aug-19 04:00:00 am,59.7
05-Aug-19 04:00:00 pm,58.4
05-Aug-19 08:00:00 pm,60.9
06-Aug-19 04:00:00 am,58.8
06-Aug-19 04:00:00 pm,58.6
06-Aug-19 08:00:00 pm,60.7
07-Aug-19 04:00:00 am,58.8
07-Aug-19 04:00:00 pm,60.2
07-Aug-19 08:00:00 pm,60.7
08-Aug-19 04:00:00 am,59.9
08-Aug-19 04:00:00 pm,60.4
09-Aug-19 04:00:00 am,59.4
09-Aug-19 04:00:00 pm,60.7
10-Aug-19 12:00:00 pm,59.3
11-Aug-19 04:00:00 am,60.6
11-Aug-19 04:00:00 pm,59.7
11-Aug-19 08:00:00 pm,60.3
12-Aug-19 04:00:00 am,59.4
12-Aug-19 04:00:00 pm,58.9
12-Aug-19 08:00:00 pm,61.4
13-Aug-19 04:00:00 am,59.1
13-Aug-19 04:00:00 pm,60.3
14-Aug-19 04:00:00 am,58.6
14-Aug-19 04:00:00 pm,60.3
15-Aug-19 04:00:00 am,59.6
15-Aug-19 04:00:00 pm,60.2
15-Aug-19 08:00:00 pm,60.8
16-Aug-19 04:00:00 am,59.7
16-Aug-19 04:00:00 pm,60.7
17-Aug-19 04:00:00 pm,59.5
17-Aug-19 08:00:00 pm,60.9
18-Aug-19 12:00:00 pm,59.6
18-Aug-19 08:00:00 pm,60.7
19-Aug-19 04:00:00 am,59.5
19-Aug-19 08:00:00 pm,60.7
20-Aug-19 04:00:00 am,59.7
20-Aug-19 04:00:00 pm,60.4
21-Aug-19 04:00:00 am,59.3
21-Aug-19 04:00:00 pm,60.4
22-Aug-19 04:00:00 am,62.7
22-Aug-19 08:00:00 am,59.6
22-Aug-19 04:00:00 pm,60.7
23-Aug-19 04:00:00 am,59.6
23-Aug-19 04:00:00 pm,60.3
24-Aug-19 12:00:00 pm,59.4
25-Aug-19 12:00:00 am,60.7
25-Aug-19 12:00:00 pm,59.6
26-Aug-19 12:00:00 am,60.2
26-Aug-19 04:00:00 am,59.1
26-Aug-19 04:00:00 pm,60.6
27-Aug-19 04:00:00 am,59.4
27-Aug-19 04:00:00 pm,57.7
27-Aug-19 08:00:00 pm,60.5
28-Aug-19 04:00:00 am,59.6
28-Aug-19 04:00:00 pm,57.5
28-Aug-19 08:00:00 pm,59.1
29-Aug-19 04:00:00 am,58.5
29-Aug-19 04:00:00 pm,60.5
30-Aug-19 04:00:00 am,59.2
30-Aug-19 04:00:00 pm,60.1
31-Aug-19 12:00:00 pm,59.6
01-Sep-19 04:00:00 am,60.6
01-Sep-19 12:00:00 pm,59.4
01-Sep-19 08:00:00 pm,60.8
02-Sep-19 04:00:00 am,59.6
02-Sep-19 04:00:00 pm,60.2
03-Sep-19 04:00:00 am,59.1
03-Sep-19 04:00:00 pm,58.9
03-Sep-19 08:00:00 pm,60.4
04-Sep-19 04:00:00 am,59.4
04-Sep-19 04:00:00 pm,60.4
05-Sep-19 04:00:00 am,59.6
