Timestamp,RTU_1 OccManCmd
13-Apr-19 09:31:38 am,Unocc
15-Apr-19 06:00:05 am,Occ
15-Apr-19 06:01:30 pm,Unocc
15-Apr-19 08:29:09 pm,Occ
15-Apr-19 09:02:50 pm,Unocc
16-Apr-19 06:00:04 am,Occ
16-Apr-19 06:01:28 pm,Unocc
16-Apr-19 10:07:59 pm,Occ
16-Apr-19 10:38:29 pm,Unocc
16-Apr-19 11:13:22 pm,Occ
16-Apr-19 11:43:38 pm,Unocc
17-Apr-19 05:00:39 am,Occ
17-Apr-19 05:30:55 am,Unocc
17-Apr-19 06:00:16 am,Occ
17-Apr-19 06:00:53 pm,Unocc
17-Apr-19 06:03:57 pm,Occ
17-Apr-19 06:33:33 pm,Unocc
17-Apr-19 10:07:28 pm,Occ
17-Apr-19 10:38:43 pm,Unocc
18-Apr-19 06:00:17 am,Occ
18-Apr-19 06:00:56 pm,Unocc
18-Apr-19 10:01:09 pm,Occ
18-Apr-19 10:33:10 pm,Unocc
19-Apr-19 06:00:15 am,Occ
19-Apr-19 06:00:47 pm,Unocc
22-Apr-19 06:00:02 am,Occ
22-Apr-19 06:01:21 pm,Unocc
22-Apr-19 10:02:38 pm,Occ
22-Apr-19 10:34:37 pm,Unocc
23-Apr-19 06:00:05 am,Occ
23-Apr-19 06:02:34 pm,Unocc
23-Apr-19 10:13:15 pm,Occ
23-Apr-19 10:44:55 pm,Unocc
24-Apr-19 06:00:08 am,Occ
24-Apr-19 06:00:51 pm,Unocc
24-Apr-19 06:45:45 pm,Occ
24-Apr-19 07:15:56 pm,Unocc
24-Apr-19 09:58:15 pm,Occ
24-Apr-19 10:29:48 pm,Unocc
25-Apr-19 06:00:16 am,Occ
25-Apr-19 06:01:09 pm,Unocc
25-Apr-19 10:12:04 pm,Occ
25-Apr-19 10:45:05 pm,Unocc
26-Apr-19 06:00:17 am,Occ
26-Apr-19 06:01:34 pm,Unocc
27-Apr-19 02:46:21 pm,Occ
27-Apr-19 03:16:19 pm,Unocc
28-Apr-19 06:27:26 pm,Occ
28-Apr-19 06:58:02 pm,Unocc
29-Apr-19 06:00:13 am,Occ
29-Apr-19 06:01:26 pm,Unocc
29-Apr-19 10:30:22 pm,Occ
29-Apr-19 11:02:09 pm,Unocc
30-Apr-19 06:00:19 am,Occ
30-Apr-19 06:27:29 pm,Unocc
30-Apr-19 10:35:17 pm,Occ
30-Apr-19 11:06:01 pm,Unocc
01-May-19 06:00:25 am,Occ
01-May-19 06:01:18 pm,Unocc
01-May-19 09:47:46 pm,Occ
01-May-19 10:18:45 pm,Unocc
02-May-19 06:00:54 am,Occ
02-May-19 06:01:27 pm,Unocc
02-May-19 10:00:17 pm,Occ
02-May-19 10:32:32 pm,Unocc
03-May-19 06:00:17 am,Occ
03-May-19 06:00:56 pm,Unocc
04-May-19 02:58:18 am,Occ
04-May-19 03:28:46 am,Unocc
05-May-19 05:02:37 pm,Occ
05-May-19 05:29:00 pm,Unocc
05-May-19 06:36:20 pm,Occ
05-May-19 07:07:28 pm,Unocc
06-May-19 06:00:06 am,Occ
06-May-19 06:01:02 pm,Unocc
06-May-19 10:01:16 pm,Occ
06-May-19 10:31:53 pm,Unocc
07-May-19 02:40:25 am,Occ
07-May-19 03:10:23 am,Unocc
07-May-19 06:00:11 am,Occ
07-May-19 06:00:58 pm,Unocc
07-May-19 09:43:42 pm,Occ
07-May-19 10:14:25 pm,Unocc
08-May-19 06:00:13 am,Occ
08-May-19 06:01:21 pm,Unocc
08-May-19 10:06:52 pm,Occ
08-May-19 10:37:18 pm,Unocc
09-May-19 06:00:04 am,Occ
09-May-19 06:00:51 pm,Unocc
09-May-19 10:12:41 pm,Occ
09-May-19 10:42:46 pm,Unocc
10-May-19 06:00:16 am,Occ
10-May-19 06:01:22 pm,Unocc
11-May-19 01:57:38 pm,Occ
11-May-19 02:24:48 pm,Unocc
11-May-19 03:16:35 pm,Occ
11-May-19 03:47:35 pm,Unocc
11-May-19 04:33:09 pm,Occ
11-May-19 05:08:14 pm,Unocc
11-May-19 06:01:16 pm,Occ
11-May-19 06:37:13 pm,Unocc
11-May-19 08:14:11 pm,Occ
11-May-19 08:43:07 pm,Unocc
12-May-19 06:18:26 pm,Occ
12-May-19 06:49:04 pm,Unocc
13-May-19 06:00:17 am,Occ
13-May-19 09:46:00 am,Occ
13-May-19 10:01:42 am,Occ
13-May-19 10:01:42 am,Auto
13-May-19 10:02:25 am,Occ
13-May-19 01:03:30 pm,Auto
13-May-19 01:03:55 pm,Unocc
13-May-19 01:04:18 pm,Occ
13-May-19 06:01:11 pm,Unocc
13-May-19 09:49:33 pm,Occ
13-May-19 10:20:15 pm,Unocc
14-May-19 06:00:06 am,Occ
14-May-19 06:00:55 pm,Unocc
14-May-19 10:00:11 pm,Occ
14-May-19 10:30:54 pm,Unocc
15-May-19 06:00:15 am,Occ
15-May-19 06:00:47 pm,Unocc
15-May-19 09:54:00 pm,Occ
15-May-19 10:23:59 pm,Unocc
16-May-19 06:00:03 am,Occ
16-May-19 06:01:01 pm,Unocc
16-May-19 09:41:38 pm,Occ
16-May-19 10:12:27 pm,Unocc
17-May-19 06:00:16 am,Occ
17-May-19 06:01:25 pm,Unocc
18-May-19 05:41:45 pm,Unocc
19-May-19 10:03:10 am,Occ
19-May-19 10:33:06 am,Unocc
19-May-19 06:52:40 pm,Occ
19-May-19 07:23:28 pm,Unocc
20-May-19 06:00:07 am,Occ
20-May-19 06:01:07 pm,Unocc
20-May-19 06:19:57 pm,Unocc
20-May-19 09:44:29 pm,Occ
20-May-19 10:15:11 pm,Unocc
21-May-19 06:00:13 am,Occ
21-May-19 06:01:12 pm,Unocc
21-May-19 10:04:28 pm,Occ
21-May-19 10:34:57 pm,Unocc
22-May-19 06:00:15 am,Occ
22-May-19 06:24:31 pm,Unocc
22-May-19 09:46:27 pm,Occ
22-May-19 10:17:08 pm,Unocc
23-May-19 06:00:58 am,Occ
23-May-19 06:01:23 pm,Unocc
23-May-19 10:50:35 pm,Occ
23-May-19 11:21:17 pm,Unocc
24-May-19 06:00:10 am,Occ
24-May-19 06:00:45 pm,Unocc
27-May-19 06:00:10 am,Occ
27-May-19 06:01:11 pm,Unocc
28-May-19 06:00:16 am,Occ
28-May-19 06:01:02 pm,Unocc
28-May-19 09:50:08 pm,Occ
28-May-19 10:20:37 pm,Unocc
29-May-19 06:00:11 am,Occ
29-May-19 06:01:56 pm,Unocc
30-May-19 06:00:34 am,Occ
30-May-19 06:01:25 pm,Unocc
31-May-19 06:00:17 am,Occ
31-May-19 06:00:55 pm,Unocc
01-Jun-19 10:42:44 am,Occ
